Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Théâtre sur un plateau;Bourgogne-Franche-Comté;Jura;39160;2017;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_39475_5641;46.4375471402, 5.33561825227
Festival de théâtre;Occitanie;Pyrénées-Orientales;66690;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_66168_5643;42.5524573215, 2.98000507261
Les flâneries musicales;Provence-Alpes-Côte d'Azur;Vaucluse;84700;2011;Musique;Avant-saison (1er janvier - 20 juin);FEST_84129_6399;44.0145763951, 4.86740515419
Quinzaine littéraire;Provence-Alpes-Côte d'Azur;Vaucluse;84700;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_84129_6400;44.0145763951, 4.86740515419
Couleurs conte;Grand Est;Bas-Rhin;67000;2007;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_67482_6429;48.5712679849, 7.76752679517
Barakacirq;Occitanie;Hautes-Pyrénées;65000;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_65440_6511;43.2347859635, 0.0660093937851
FAT festival;Auvergne-Rhône-Alpes;Drôme;26770;2016;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_26348_6524;44.4589108654, 4.97848630034
Festival de pâques;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13100;2013;Musique;Avant-saison (1er janvier - 20 juin);FEST_13001_42;43.5360708378, 5.39857444582
Béthune Retro;Hauts-de-France;Pas-de-Calais;62400;2006;Musique;Saison (21 juin - 5 septembre);FEST_62119_792;50.5288922584, 2.64242379342
Les Planches Fêlées;Centre-Val de Loire;Loiret;45250;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_45053_1073;47.6450008152, 2.74519258713
Les Musicales de la Vallée-aux-Loups;Île-de-France;Hauts-de-Seine;92290;;Musique;Avant-saison (1er janvier - 20 juin);FEST_92019_1576;48.7681690197, 2.26282598525
Lire en Poche;Nouvelle-Aquitaine;Gironde;33170;2005;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_33192_2427;44.7709411201, -0.616137682116
Rencontres Victor Hugo & Co;Normandie;Manche;50400;2018;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_50218_2437;48.8327078372, -1.56670866413
Traces Urbaines;Nouvelle-Aquitaine;Charente-Maritime;17000;2018;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_17300_2838;46.1620643972, -1.17465702836
Les Franches Conteries;Bourgogne-Franche-Comté;Haute-Saône;70200;2006;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_70310_3495;47.6851664568, 6.49651910322
Classique Au Port;Nouvelle-Aquitaine;Charente-Maritime;17137;2011;Musique;Saison (21 juin - 5 septembre);FEST_17222_3792;46.2279815939, -1.13416579432
Rock'N Bock;Grand Est;Meurthe-et-Moselle;54320;2017;Musique;Après-saison (6 septembre - 31 décembre);FEST_54357_3820;48.7091528465, 6.14959862185
Foins d'hiver;Pays de la Loire;Mayenne;53100;2007;Musique;Après-saison (6 septembre - 31 décembre);FEST_53147_3822;48.3074609449, -0.614799950799
La Karavane;Bretagne;Ille-et-Vilaine;35720;2019;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35308_3870;48.4550260435, -1.88873891943
Festival de théâtre;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;60190;2002;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_06104_3924;43.7638278953, 7.4587361611
Les 7 Collines;Auvergne-Rhône-Alpes;Loire;42000;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_42218_5819;45.4301235512, 4.37913997076
Atuluça - Festival de la littérature jeunesse;Centre-Val de Loire;Indre-et-Loire;37700;2020;Livre, littérature;Saison (21 juin - 5 septembre);FEST_37233_6119;47.3884488197, 0.738011772072
Bibliothèques idéales;Grand Est;Bas-Rhin;67000;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_67482_6425;48.5712679849, 7.76752679517
Festival d'Anères;Occitanie;Hautes-Pyrénées;65150;1999;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_65009_214;43.0760669312, 0.464444450073
Festival du Film Francophone d'angoulême;Nouvelle-Aquitaine;Charente;16000;2008;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_16015_238;45.6472585146, 0.14514490683
Musiques Métisses;Nouvelle-Aquitaine;Charente;16000;1976;Musique;Avant-saison (1er janvier - 20 juin);FEST_16015_247;45.6472585146, 0.14514490683
Les Mots Dits;Bourgogne-Franche-Comté;Yonne;89380;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_89013_296;47.8663621082, 3.51999342457
100 Mil V'Ault;Hauts-de-France;Somme;80460;2010;Musique;Avant-saison (1er janvier - 20 juin);FEST_80039_457;50.0925488309, 1.44717519345
Festival de Pentecôte, Les concerts de l'évêché;Bourgogne-Franche-Comté;Saône-et-Loire;71400;2017;Musique;Saison (21 juin - 5 septembre);FEST_71014_484;46.945536773, 4.31060069532
