Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Conte Toujours, Ca M'intéresse;Nouvelle-Aquitaine;Lot-et-Garonne;47340;2018;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_47228_5652;44.3406134125, 0.720236260275
Empalot s'agit (e);Occitanie;Haute-Garonne;31400;2004;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_31555_6637;43.5963814303, 1.43167293364
Rhino jazz(S) festival;Auvergne-Rhône-Alpes;Loire;42100;1979;Musique;Après-saison (6 septembre - 31 décembre);FEST_42207_5709;45.4698319517, 4.50184989506
Vochora;Auvergne-Rhône-Alpes;Ardèche;7300;22ème;Musique;Saison (21 juin - 5 septembre);FEST_07324_6717;45.0535734386, 4.81493474284
Festival des Bords de Vire;Normandie;Manche;50420;2012;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_50592_6536;48.9633310504, -1.08464396412
Férréofolies;Provence-Alpes-Côte d'Azur;Vaucluse;84750;2015;Musique;Saison (21 juin - 5 septembre);FEST_84144_7058;43.9031226397, 5.5602158314
Corsica madness;Corse;Corse-du-Sud;20000;2021;Musique;Avant-saison (1er janvier - 20 juin);FEST_2A004_82;41.9347926638, 8.70132275974
Les nuits musicales de Bazoches;Bourgogne-Franche-Comté;Nièvre;58190;1994;Musique;Saison (21 juin - 5 septembre);FEST_58023_670;47.368858753, 3.79377524452
Festival de Caves;Bourgogne-Franche-Comté;Doubs;25000;2014;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_25056_764;47.2553872249, 6.01948696494
Graalfest;Occitanie;Haute-Garonne;31660;;Musique;Avant-saison (1er janvier - 20 juin);FEST_31094_1123;43.7685831064, 1.61379658307
Rencontres littéraires de cannes;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6400;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_06029_1233;43.5526202843, 7.00427592728
Village et Compagnies;Auvergne-Rhône-Alpes;Drôme;26400;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_26065_1392;44.713669067, 4.96072243187
Festival international de Cuisery;Bourgogne-Franche-Comté;Saône-et-Loire;71290;2015;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_71158_1908;46.5569799009, 4.99361378862
Mamers en scène;Pays de la Loire;Sarthe;72600;2016;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_72180_3627;48.3545313197, 0.370783494811
Ouvrez Les Guillemets;Nouvelle-Aquitaine;Corrèze;19250;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_19136_3899;45.5542315824, 2.14009183651
Festival Musique sous les embruns;Normandie;Calvados;14520;2004;Musique;Après-saison (6 septembre - 31 décembre);FEST_14515_5184;49.3396014282, -0.772708434394
7ème Lune;Bretagne;Ille-et-Vilaine;35000;;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35238_5344;48.1119791219, -1.68186449144
Westsound Festival;Bretagne;Finistère;29200;;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_29019_1058;48.4004997828, -4.5027907853
Les éclectiques;Hauts-de-France;Pas-de-Calais;62220;2018;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_62215_1298;50.4895185959, 2.94858062937
Rencontres de la photo de Chabeuil;Auvergne-Rhône-Alpes;Drôme;26120;2001;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_26064_1387;44.9082255842, 5.00743034189
La Ferme se met en mouvement;Bourgogne-Franche-Comté;Saône-et-Loire;71880;2014;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_71118_1578;46.788588171, 4.8058563943
Les nuits sonores;Auvergne-Rhône-Alpes;Métropole de Lyon;69002;;Musique;Avant-saison (1er janvier - 20 juin);FEST_69140_3562;45.8941529725, 4.69976319866
Danse Émoi;Nouvelle-Aquitaine;Haute-Vienne;87000;1987;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_87085_3374;45.8542549589, 1.2487579024
Dangereuses Lectrices;Bretagne;Ille-et-Vilaine;35000;2019;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_35238_5354;48.1119791219, -1.68186449144
KLASIK - Musiques classiques et contemporaines au coeur de la Bretagne;Bretagne;Côtes-d'Armor;22110;2012;Musique;Saison (21 juin - 5 septembre);FEST_22266_5507;48.2215427736, -3.31179704668
Un Week-end à la Rue;Bretagne;Ille-et-Vilaine;35770;;Musique;Avant-saison (1er janvier - 20 juin);FEST_35352_7002;48.0525245014, -1.60521106164
Les nuits de Saint-Sauveur;Bourgogne-Franche-Comté;Yonne;89520;2014;Musique;Saison (21 juin - 5 septembre);FEST_89368_6163;47.6390792978, 3.20437842755
Oktomuerte;Occitanie;Gard;30610;2018;Musique;Après-saison (6 septembre - 31 décembre);FEST_30311_6272;43.9373635895, 3.95465985604
10ème art;Auvergne-Rhône-Alpes;Cantal;15000;2016;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_15014_465;44.9245233686, 2.44162453828
En Nord Beat;Hauts-de-France;Nord;59043;2015;Musique;Saison (21 juin - 5 septembre);FEST_59043_594;50.7274252798, 2.7379912081
La Vadrouille des Vaches folks;Bretagne;Finistère;29150;;Musique;Avant-saison (1er janvier - 20 juin);FEST_29025_1302;48.1490980732, -4.11928421519
Festival Mère Deny's;Occitanie;Haute-Garonne;31320;2013;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_31113_1303;43.5136166687, 1.50383757047
Les Jeudis de musiqueS à Crozon;Bretagne;Finistère;29160;2010;Musique;Saison (21 juin - 5 septembre);FEST_29042_1895;48.2449715382, -4.49170347769
Tout Court ! festival du court-métrage de Gisors;Normandie;Eure;27140;2017;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_27284_2407;49.2786723691, 1.76876649685
Format;Auvergne-Rhône-Alpes;Ardèche;7380;2011;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_07107_2657;44.6298203979, 4.23815139749
La londe jazz festival;Provence-Alpes-Côte d'Azur;Var;83250;2009;Musique;Saison (21 juin - 5 septembre);FEST_83071_2791;43.1689213414, 6.24285151023
Festival de la mer;Bretagne;Finistère;29840;2003;Musique;Saison (21 juin - 5 septembre);FEST_29109_2953;48.5343990673, -4.72936031932
Ice DJ festival;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6000;2017;Musique;Après-saison (6 septembre - 31 décembre);FEST_06088_4392;43.7119992661, 7.23826889465
Festival Impulsions;Nouvelle-Aquitaine;Deux-Sèvres;79000;2008;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_79191_4439;46.328260242, -0.465353019369
Festival des Chemins de Traverses;Île-de-France;Seine-Saint-Denis;93160;1998;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_93051_4469;48.8361825401, 2.56443736814
Festival du Féminin;Île-de-France;Paris;75019;;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_75119_4690;48.8567, 2.3508
Festival du Film d'Asie du Sud Transgressif - FFAST;Île-de-France;Paris;75002;;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_75102_4691;48.8567, 2.3508
Voi(x) là l'été;Grand Est;Marne;51200;2015;Musique;Saison (21 juin - 5 septembre);FEST_51230_2110;49.037000689, 3.93144626202
Tendance clown;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13001;2005;Spectacle vivant;;FEST_13055_3788;43.296346, 5.369889
Forum Le Monde Le Mans;Pays de la Loire;Sarthe;72000;1988;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_72181_3120;47.9885256718, 0.200030493539
Festival du film d'animation;Auvergne-Rhône-Alpes;Ain;1800;2006;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_01244_3894;45.9060530318, 5.20404833653
Vague de Jazz;Pays de la Loire;vendée;85100;2002;Musique;Saison (21 juin - 5 septembre);FEST_85194_3275;46.5007612799, -1.79255128677
Microscopies;Hauts-de-France;Nord;59000;2016;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_59350_3352;50.6317183168, 3.04783272312
Festival Salsa carnaval;Nouvelle-Aquitaine;Haute-Vienne;87000;2005;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_87085_3380;45.8542549589, 1.2487579024
Festival Pic’arts;Hauts-de-France;Aisne;2000;1998;Musique;Saison (21 juin - 5 septembre);FEST_02490_3947;49.4760084468, 3.57360176783
C'est l'printemps à Val Cenis;Auvergne-Rhône-Alpes;Savoie;73500;2012;Musique;Avant-saison (1er janvier - 20 juin);FEST_73290_6862;45.3441528771, 6.84789108583
Soirées Lyriques de Sanxay;Nouvelle-Aquitaine;Vienne;86600;2000;Musique;Saison (21 juin - 5 septembre);FEST_86253_6232;46.4960318018, -0.00840229241339
Biennale des imaginaires numériques;Provence-Alpes-Côte d'Azur;Var;83000;;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_83137_6597;43.1361589728, 5.93239634249
Rencontres du film d'animation;Corse;Haute-Corse;20200;2015;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_2B033_649;42.6864768806, 9.42502133338
Cinémondes;Hauts-de-France;Pas-de-Calais;62600;2005;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_62108_742;50.4141574341, 1.58229663833
Féria de Carcassonne;Occitanie;Aude;11000;2006;Musique;Saison (21 juin - 5 septembre);FEST_11069_1251;43.2093798444, 2.34398855385
Circocopiaus;Bourgogne-Franche-Comté;Saône-et-Loire;71150;2016;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_71073_1393;46.8985800984, 4.77433585145
La fête de la veraison;Provence-Alpes-Côte d'Azur;Vaucluse;84230;1985;Spectacle vivant;;FEST_84037_1537;44.0595884031, 4.82728435607
Festival de Cinéma de La Foa;Nouvelle-Calédonie;;98880;1998;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST__7265;
Aux Quatre Coins Du Mot;Bourgogne-Franche-Comté;Nièvre;58400;2005;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_58059_2728;47.1835862006, 3.02885515594
La Charrette aux Merveilles;Bretagne;Finistère;29600;2004;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_29151_4176;48.5996746612, -3.82052019963
Ilophone;Bretagne;Finistère;29242;2007;Musique;Après-saison (6 septembre - 31 décembre);FEST_29155_4567;48.4601042319, -5.08534533544
Salon international du livre de montagne;Auvergne-Rhône-Alpes;Haute-Savoie;74190;29ème;Livre, littérature;Saison (21 juin - 5 septembre);FEST_74208_4909;45.9545838758, 6.74056895873
Musicales de Vence en Roannais;Auvergne-Rhône-Alpes;Loire;42120;2006;Musique;Après-saison (6 septembre - 31 décembre);FEST_42170_4987;46.0404897361, 4.14491926088
Mont-Blanc d’humour;Auvergne-Rhône-Alpes;Haute-Savoie;74170;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_74236_5880;45.8571864862, 6.74016257718
La fête de l'art;Bourgogne-Franche-Comté;Yonne;89520;2006;Musique;Saison (21 juin - 5 septembre);FEST_89368_6162;47.6390792978, 3.20437842755
Le polar se met au vert;Nouvelle-Aquitaine;Landes;40480;2006;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_40328_7063;43.7874374515, -1.39719537879
Festival international d'art lyrique de Vivonne;Nouvelle-Aquitaine;Vienne;86370;2000;Musique;Après-saison (6 septembre - 31 décembre);FEST_86293_7186;46.412040698, 0.257005369348
Les Nuits d'été;Nouvelle-Aquitaine;Lot-et-Garonne;47000;2009;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_47001_14;44.2028139104, 0.625583928763
La Tête Dans Les Nuages;Nouvelle-Aquitaine;Charente;16000;1997;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_16015_243;45.6472585146, 0.14514490683
Bissy sous les étoiles;Bourgogne-Franche-Comté;Saône-et-Loire;71460;2001;Musique;Saison (21 juin - 5 septembre);FEST_71037_835;46.6633352989, 4.6213986546
Drôle d'endroit Pour des Rencontres;Auvergne-Rhône-Alpes;Métropole de Lyon;69500;1991;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_69029_1100;45.7344856902, 4.91168159471
Ethereal Decibel Festival;Normandie;Manche;50640;2016;Musique;Saison (21 juin - 5 septembre);FEST_50090_1110;48.5185588487, -0.971234303313
Salon du Roman Populaire;Bretagne;Morbihan;56063;1999;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_56053_2089;47.7326809062, -2.59279070215
Primeurs;Grand Est;Moselle;57060;2007;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_57227_2273;49.1912650369, 6.89275798526
A l'Est Des Dunes;Bretagne;Côtes-d'Armor;22240;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_22179_2313;48.6348223959, -2.36202603588
Salon du livre d'Hermillon;Auvergne-Rhône-Alpes;Savoie;73300;1989;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_73135_2569;45.3048823312, 6.38960278843
Dessin contemporain & populaire;Auvergne-Rhône-Alpes;Ardèche;7140;;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_07334_3277;44.392206287, 4.11524168722
Symphonies d'automne;Bourgogne-Franche-Comté;Saône-et-Loire;71000;1994;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_71270_3601;46.3205511756, 4.81842529639
Val d'Ille en scène;Bretagne;Ille-et-Vilaine;35250;2001;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_35173_3837;48.2193069814, -1.68950220558
Le Courtivore - festival du court-métrage de Rouen & Mont-Saint-Aignan;Normandie;Seine-Maritime;76130;2000;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_76451_4157;49.4676577166, 1.08169720921
Festival de Saint-Paul-De-Vence;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6570;2011;Musique;Saison (21 juin - 5 septembre);FEST_06128_6095;43.6950190291, 7.12116951865
Festibaloche;Occitanie;Hérault;34390;2000;Musique;Saison (21 juin - 5 septembre);FEST_34187_4509;43.540135455, 2.91772316116
En Voie d'Expression;Bretagne;Morbihan;56300;;Musique;Après-saison (6 septembre - 31 décembre);FEST_56178_5156;48.0729953877, -2.97046592885
Biennale du livre jeunesse de Questembert;Bretagne;Morbihan;56230;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_56184_5252;47.6638017747, -2.43671076032
Drop'n Rock;Grand Est;Vosges;88100;;Musique;Saison (21 juin - 5 septembre);FEST_88424_5779;48.2675581117, 6.97340042686
Les Jeux du Théâtre;Nouvelle-Aquitaine;Dordogne;24200;1952;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_24520_6244;44.8983558068, 1.2066486429
Plantez-là;Occitanie;Lot;46120;2016;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_46319_6542;44.7180986465, 1.84984788419
Cinespaña;Occitanie;Haute-Garonne;31000;1996;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_31555_6630;43.5963814303, 1.43167293364
Écran libre - festival international du court-métrage;Occitanie;Gard;30220;1996;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_30003_24;43.5507249635, 4.18349802063
La Brèche festival;Auvergne-Rhône-Alpes;Savoie;73100;;Musique;Avant-saison (1er janvier - 20 juin);FEST_73008_76;45.6978541675, 5.90388626955
Les Rencontres du Réel;Nouvelle-Aquitaine;Dordogne;24150;2009;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_24022_562;44.8391204649, 0.800580246575
Fête du printemps;Grand Est;Meuse;55000;2018;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_55029_626;48.7642280465, 5.16346492169
Ciné rural;Hauts-de-France;Oise;60000;2018;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_60057_700;49.4365523321, 2.08616123661
Beaujolais en scène et en musique;Auvergne-Rhône-Alpes;Rhône;69460;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_69023_838;46.0346971393, 4.63561700748
Nid'poule festival;Auvergne-Rhône-Alpes;Ain;1290;2015;Musique;Saison (21 juin - 5 septembre);FEST_01179_2491;46.2633634407, 4.84621318847
Festival du Val d'Aulnay;Île-de-France;Hauts-de-Seine;92290;;Musique;Avant-saison (1er janvier - 20 juin);FEST_92019_1575;48.7681690197, 2.26282598525
Les Avant-premières de Cosne-sur-Loire;Bourgogne-Franche-Comté;Nièvre;58200;1999;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_58086_1831;47.4029099422, 2.94284103771
La Route des Contes;Île-de-France;Yvelines;78170;2004;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_78126_2718;48.8469487124, 2.13519126228
Salon du livre;Provence-Alpes-Côte d'Azur;Var;13760;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_13091_2758;43.6136286667, 5.30698257258
Festival de Lacoste;Provence-Alpes-Côte d'Azur;Vaucluse;84480;2000;Musique;Saison (21 juin - 5 septembre);FEST_84058_2901;43.8257421042, 5.26592271907
Lille VJ Fest;Hauts-de-France;Nord;59800;2017;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_59350_3351;50.6317183168, 3.04783272312
La Belle Virée;Pays de la Loire;Sarthe;72120;2017;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_72179_3623;47.8125544281, -0.0874543104248
Jazz à Megève;Auvergne-Rhône-Alpes;Haute-Savoie;74120;2016;Musique;Avant-saison (1er janvier - 20 juin);FEST_74173_3830;45.8401573581, 6.62348394015
Scopitone;Pays de la Loire;Loire-Atlantique;44000;2002;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_44109_4321;47.2316356767, -1.54831008605
Tremble Parlure;Île-de-France;Paris;75020;2019;Livre, littérature;Saison (21 juin - 5 septembre);FEST_75120_4880;48.8567, 2.3508
The World Today;Grand Est;Bas-Rhin;67220;2017;Musique;Saison (21 juin - 5 septembre);FEST_67426_5615;48.3498144162, 7.28574653524
Festival Fiest’A Sète;Occitanie;Hérault;34200;1997;Musique;Saison (21 juin - 5 septembre);FEST_34301_6348;43.3917705831, 3.64705148296
Handifférence;Occitanie;Haute-Garonne;31000;2014;Musique;Avant-saison (1er janvier - 20 juin);FEST_31555_6674;43.5963814303, 1.43167293364
Valloire baroque;Auvergne-Rhône-Alpes;Savoie;73450;2010;Musique;Saison (21 juin - 5 septembre);FEST_73306_6904;45.1233680911, 6.42400790634
Les Nuits de Longwy;Grand Est;Meurthe-et-Moselle;54400;01/01/1990 00:00;Musique;Saison (21 juin - 5 septembre);FEST_54323_3428;49.5214021779, 5.76638370702
Jardin sonore festival;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13127;2018;Musique;Saison (21 juin - 5 septembre);FEST_13117_7171;43.4497831674, 5.26357787665
Festival du Rythme en Cévennes;Occitanie;Gard;30140;1990;Musique;Saison (21 juin - 5 septembre);FEST_30270_5613;44.1164232741, 4.0327398577
June Events;Île-de-France;Paris;75012;2004;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_75112_4741;48.8351562307, 2.41980703497
Lounge Music festival;Auvergne-Rhône-Alpes;Haute-Savoie;74260;;Musique;Avant-saison (1er janvier - 20 juin);FEST_74134_3256;46.1542288253, 6.66014566051
Kobzar;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6000;2017;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_06088_4394;43.7119992661, 7.23826889465
Semaine de la danse à Simiane;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13109;2003;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_13107_6370;43.411551859, 5.43796924424
Marseille series stories;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13001;;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_13055_7172;43.296346, 5.369889
Berzyk;Hauts-de-France;Aisne;2200;2007;Musique;Avant-saison (1er janvier - 20 juin);FEST_02077_756;49.3172125296, 3.29666086699
Festiv'anges;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13003;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_13055_3721;43.296346, 5.369889
La guinguette;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13014;1987;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_13055_3729;43.296346, 5.369889
Festi'Mômes;Île-de-France;Essonne;91400;01/01/2000 00:00;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_91471_4562;48.7004093953, 2.18737051177
Festival International de la Photographie Culinaire;Île-de-France;Paris;75005;2009;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_75105_4700;48.8445086596, 2.34985938556
Festival de guitare d'Aucamville et du Nord Toulousain;Occitanie;Haute-Garonne;31140;1992;Musique;Avant-saison (1er janvier - 20 juin);FEST_31022_436;43.6713968117, 1.42370910767
Fête médievale du dauphin d'Auvergne;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_63113_1674;45.7856492991, 3.11554542903
Chorégies d'Orange;Provence-Alpes-Côte d'Azur;Vaucluse;84100;1869;Musique;Saison (21 juin - 5 septembre);FEST_84087_4524;44.128913537, 4.8098792403
Rencontres culture et cinéma;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6140;;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_06157_6968;43.7384640641, 7.10194436087
Paysages d'écoute;Pays de la Loire;Sarthe;72000;2017;Musique;Après-saison (6 septembre - 31 décembre);FEST_72181_3128;47.9885256718, 0.200030493539
Festival andalou;Provence-Alpes-Côte d'Azur;Vaucluse;84000;2002;Musique;Avant-saison (1er janvier - 20 juin);FEST_84007_514;43.9352448339, 4.84071572505
Jazz in Fougères;Bretagne;Ille-et-Vilaine;35300;2010;Musique;Avant-saison (1er janvier - 20 juin);FEST_35115_2297;48.3524697115, -1.19431177241
La Dive Musique;Centre-Val de Loire;Indre-et-Loire;37500;2012;Musique;Saison (21 juin - 5 septembre);FEST_37248_6357;47.1268380183, 0.160711623152
Nuits musicales d'Uzès;Occitanie;Gard;30700;1971;Musique;Saison (21 juin - 5 septembre);FEST_30334_6832;44.0136590402, 4.41600031556
Blues & polar;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;4100;2006;Livre, littérature;Saison (21 juin - 5 septembre);FEST_04112_3635;43.8354040831, 5.79106654173
Résonance;Provence-Alpes-Côte d'Azur;Var;84000;2010;Musique;Saison (21 juin - 5 septembre);FEST_84007_545;43.9352448339, 4.84071572505
Surf & Skate Culture Festival;Bretagne;Morbihan;56520;2017;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_56078_2525;47.7940076851, -3.49161886127
Festival El Medio Dia;Occitanie;Tarn-et-Garonne;82370;;Musique;Saison (21 juin - 5 septembre);FEST_82044_1806;43.9412424129, 1.38125963307
Festival 811;Occitanie;Aude;11350;;Musique;saison (21 juin - 5 septembre);FEST_11123_2059;42.8656597, 2.56758604959
Festival du livre de Gaillac;Occitanie;Tarn;81600;;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_81099_2344;43.9170968776, 1.88647213801
Festival VO-VF;Île-de-France;Essonne;91160;2013;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_91272_2397;48.6988273634, 2.12788365005
Cahors Blues Festival;Occitanie;Lot;46000;1981;Musique;Saison (21 juin - 5 septembre);FEST_46042_1160;44.4507370916, 1.44075837848
Heures Romantiques;Centre-Val de Loire;Indre-et-Loire;37110;;Musique;Saison (21 juin - 5 septembre);FEST_37063_1544;47.592456846, 0.909725910608
Les NoctamBals;Bretagne;Côtes-d'Armor;22200;2018;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_22070_2533;48.5612759498, -3.15330223539
Journées de la BD;Pays de la Loire;Loire-Atlantique;44640;1992;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_44120_3150;47.2229017049, -1.8250130027
Urbaka;Nouvelle-Aquitaine;Haute-Vienne;87000;1990;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_87085_3390;45.8542549589, 1.2487579024
Ciné horizontes;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13006;2001;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_13055_3698;43.296346, 5.369889
Lettres d'automne;Occitanie;Tarn-et-Garonne;82000;1991;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_82121_3982;44.0222594578, 1.36408636501
Festival Argentique;Normandie;Calvados;14750;2021;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_14562_5660;49.3224328819, -0.39282763592
Festival Saintscène;Normandie;Orne;61250;2014;Musique;Saison (21 juin - 5 septembre);FEST_61372_5700;48.389040252, -0.0400378632747
Fête du livre de Gonfaron;Provence-Alpes-Côte d'Azur;Var;83590;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_83067_2415;43.3206494882, 6.30036862428
Festival international du cirque;Auvergne-Rhône-Alpes;Isère;38000;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_38185_2466;45.1821215167, 5.72133051752
Photo Montier;Grand Est;Haute-Marne;52220;1997;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_52331_2807;48.4874732749, 4.78668890124
M'né le Barouf;Bretagne;Côtes-d'Armor;22330;;Musique;Saison (21 juin - 5 septembre);FEST_22046_3138;48.2937312654, -2.52246803693
Transphotographiques;Hauts-de-France;Nord;59800;2001;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_59350_3364;50.6317183168, 3.04783272312
Joli Mai;Bretagne;Morbihan;56100;;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_56121_3443;47.7500486947, -3.37823200917
Guitarensave;Occitanie;Haute-Garonne;31530;2009;Musique;Avant-saison (1er janvier - 20 juin);FEST_31356_3967;43.6803943619, 1.2345663902
Confluences festival international de la guitare;Occitanie;Hérault;34000;1996;Musique;Après-saison (6 septembre - 31 décembre);FEST_34172_4074;43.6134409138, 3.86851657896
Accords perdus;Bourgogne-Franche-Comté;Nièvre;58400;2014;Musique;Saison (21 juin - 5 septembre);FEST_58189_4342;47.2328455003, 3.10662279955
Tandem Nevers;Bourgogne-Franche-Comté;Nièvre;58000;2012;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_58194_4374;46.9881194908, 3.15689130958
Les Enfants du désordre;Île-de-France;Seine-et-Marne;77186;2013;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_77337_4465;48.8460926469, 2.61997100426
Verjux Saône System;Bourgogne-Franche-Comté;Saône-et-Loire;71590;2006;Musique;Saison (21 juin - 5 septembre);FEST_71570_6998;46.877805287, 4.97685538795
Lectures Esti'Val d'Ille-Aubigné;Bretagne;Ille-et-Vilaine;35250;;Livre, littérature;Saison (21 juin - 5 septembre);FEST_35007_429;48.2991937889, -1.63035557088
Plage musicale en Bangor;Bretagne;Morbihan;56360;2006;Musique;Saison (21 juin - 5 septembre);FEST_56009_603;47.313014109, -3.1920046614
Estivales en Fenouillèdes;Occitanie;Pyrénées-Orientales;66220;2012;Musique;saison (21 juin - 5 septembre);FEST_66046_1329;42.8195033862, 2.37751985492
Les Trans'urbaines;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;1997;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_63113_1684;45.7856492991, 3.11554542903
